,main_token,name,info,groups,Cluster
0,bitcoin,Bitcoin,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","BTC,BSV",18
1,ethereum,Ethereum,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
2,tether,Tether,"Tether (often called by its symbol USDT) is a cryptocurrency that is hosted on the Ethereum and Bitcoin blockchains, among others. Its tokens are issued by the Hong Kong company Tether Limited, which in turn is controlled by the owners of Bitfinex. Tether is called a stablecoin because it was originally designed to always be worth US$1.00, maintaining $1.00 in reserves for each tether issued.While, according to its 2021 settlement with the New York Attorney General Letitia James, ""Tether represents to users that any holder of tethers can redeem them from Tether the company at the rate of one tether for one U.S. dollar"", Tether Limited as of 2017 stated that owners of tethers have no contractual right, other legal claims, or guarantee that tethers will or can be redeemed or exchanged for dollars.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
3,bnb,BNB,"SafeMoon is a cryptocurrency token created in March 2021 on the Binance Smart Chain blockchain.The token charges a 10% fee on transactions, with 5% redistributed (or reflected) to token holders and 5% directed to wallets in a different currency, Binance Coin (BNB), controlled by the coin's authors.


== History ==
SafeMoon was released in March 2021. The slogan of SafeMoon, ""Safely to the moon"", derived from the phrase ""To the moon"", meaning ""to quickly rise in price"".","BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
4,usd coin,USD Coin,"USD Coin (USDC) is a digital stablecoin that is pegged to the United States dollar. USD Coin is managed by a consortium called Centre, which was founded by Circle and includes members from the cryptocurrency exchange Coinbase and Bitcoin mining company Bitmain, an investor in Circle. USDC is issued by a private entity and should not be confused with a central bank digital currency (CBDC).","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
5,xrp,XRP,"Ripple is a real-time gross settlement system, currency exchange and remittance network created by Ripple Labs Inc., a US-based technology company. Released in 2012, Ripple is built upon a distributed open source protocol, and supports tokens representing fiat currency, cryptocurrency, commodities, or other units of value such as frequent flier miles or mobile minutes.  Ripple purports to enable ""secure, instantly and nearly free global financial transactions of any size with no chargebacks"".","XRP,XLM,EOS",12
6,solana,Solana,"Solana is a public blockchain platform with smart contract functionality. Its native cryptocurrency is SOL. Solana claims to offer faster transaction times and lower costs than its main competitor, Ethereum.


== History ==
Solana was proposed in a white paper Anatoly Yakovenko which was published in November of 2017.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
7,terra,Terra,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible.",LUNA,6
8,cardano,Cardano,"Cardano is a public blockchain platform. It is open-source and decentralized, with consensus achieved using proof of stake. It can facilitate peer-to-peer transactions with its internal cryptocurrency, ADA.Cardano was founded in 2015 by Ethereum co-founder Charles Hoskinson.","ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
9,avalanche,Avalanche,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","AVAX,NEAR,ATOM,FTM,STX",9
