,index,Cluster,,ai-big-data,algorand-ecosystem,amm,analytics,arbitrum-ecosytem,asset-backed-stablecoin,avalanche-ecosystem,binance-chain,binance-launchpad,blake256,blake2s,bnb-chain,cardano,cardano-ecosystem,celo-ecosystem,centralized-exchange,collectibles-nfts,content-creation,cosmos-ecosystem,dag,dao,data-provenance,decentralized-exchange,defi,derivatives,dex,discount-token,distributed-computing,doggone-doggerel,dpos,elrond-ecosystem,enterprise-solutions,entertainment,equihash,ethash,ethereum-ecosystem,fantom-ecosystem,filesharing,gaming,governance,harmony-ecosystem,hybrid-pow-pos,injective-ecosystem,interoperability,iot,iotex-ecosystem,lending-borowing,logistics,lpos,marketing,marketplace,masternodes,media,medium-of-exchange,memes,metaverse,mineable,mobile,moonriver-ecosystem,move-to-earn,music,near-protocol-ecosystem,oracles,parafi-capital,payments,platform,play-to-earn,poi,polkadot,polkadot-ecosystem,polygon-ecosystem,pos,pow,privacy,research,ringct,rollups,scaling,scrypt,services,sha-256,sharing-economy,smart-contracts,solana-ecosystem,spartan-group,sports,stablecoin,staking,state-channel,storage,store-of-value,substrate,terra-ecosystem,tron-ecosystem,usd-stablecoin,video,web3,wrapped-tokens,x11,yield-aggregator,yield-farming,zero-knowledge-proofs,zilliqa-ecosystem,symbol,groups,0,1,name,main_token,info
0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BTC,"BTC,BSV",18,"store-of-value    1.0
state-channel     1.0
pow               1.0
mineable          1.0
sha-256           1.0
Name: 18, dtype: float64",Bitcoin,bitcoin,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ETH,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0,"mineable              0.888889
medium-of-exchange    0.777778
bnb-chain             0.666667
pow                   0.666667
privacy               0.333333
scrypt                0.222222
smart-contracts       0.222222
hybrid-pow-pos        0.222222
dao                   0.222222
binance-chain         0.222222
Name: 0, dtype: float64",Ethereum,ethereum,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin."
2,2,7,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USDT,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7,"stablecoin                 1.000
bnb-chain                  1.000
usd-stablecoin             1.000
asset-backed-stablecoin    0.625
moonriver-ecosystem        0.500
arbitrum-ecosytem          0.500
avalanche-ecosystem        0.375
fantom-ecosystem           0.250
harmony-ecosystem          0.250
injective-ecosystem        0.250
defi                       0.250
store-of-value             0.250
Name: 7, dtype: float64",Tether,tether,"Tether (often called by its symbol USDT) is a cryptocurrency that is hosted on the Ethereum and Bitcoin blockchains, among others. Its tokens are issued by the Hong Kong company Tether Limited, which in turn is controlled by the owners of Bitfinex. Tether is called a stablecoin because it was originally designed to always be worth US$1.00, maintaining $1.00 in reserves for each tether issued.While, according to its 2021 settlement with the New York Attorney General Letitia James, ""Tether represents to users that any holder of tethers can redeem them from Tether the company at the rate of one tether for one U.S. dollar"", Tether Limited as of 2017 stated that owners of tethers have no contractual right, other legal claims, or guarantee that tethers will or can be redeemed or exchanged for dollars."
3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BNB,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1,"payments                1.000000
smart-contracts         0.333333
bnb-chain               0.222222
mobile                  0.222222
medium-of-exchange      0.222222
media                   0.222222
marketplace             0.222222
centralized-exchange    0.222222
content-creation        0.222222
Name: 1, dtype: float64",BNB,bnb,"SafeMoon is a cryptocurrency token created in March 2021 on the Binance Smart Chain blockchain.The token charges a 10% fee on transactions, with 5% redistributed (or reflected) to token holders and 5% directed to wallets in a different currency, Binance Coin (BNB), controlled by the coin's authors.


== History ==
SafeMoon was released in March 2021. The slogan of SafeMoon, ""Safely to the moon"", derived from the phrase ""To the moon"", meaning ""to quickly rise in price""."
4,4,7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,USDC,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7,"stablecoin                 1.000
bnb-chain                  1.000
usd-stablecoin             1.000
asset-backed-stablecoin    0.625
moonriver-ecosystem        0.500
arbitrum-ecosytem          0.500
avalanche-ecosystem        0.375
fantom-ecosystem           0.250
harmony-ecosystem          0.250
injective-ecosystem        0.250
defi                       0.250
store-of-value             0.250
Name: 7, dtype: float64",USD Coin,usd coin,"USD Coin (USDC) is a digital stablecoin that is pegged to the United States dollar. USD Coin is managed by a consortium called Centre, which was founded by Circle and includes members from the cryptocurrency exchange Coinbase and Bitcoin mining company Bitmain, an investor in Circle. USDC is issued by a private entity and should not be confused with a central bank digital currency (CBDC)."
5,5,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XRP,"XRP,XLM,EOS",12,"medium-of-exchange      1.000000
enterprise-solutions    1.000000
smart-contracts         0.666667
binance-chain           0.666667
Name: 12, dtype: float64",XRP,xrp,"Ripple is a real-time gross settlement system, currency exchange and remittance network created by Ripple Labs Inc., a US-based technology company. Released in 2012, Ripple is built upon a distributed open source protocol, and supports tokens representing fiat currency, cryptocurrency, commodities, or other units of value such as frequent flier miles or mobile minutes.  Ripple purports to enable ""secure, instantly and nearly free global financial transactions of any size with no chargebacks""."
6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4,"defi                      0.357143
platform                  0.214286
polkadot-ecosystem        0.178571
injective-ecosystem       0.178571
bnb-chain                 0.178571
substrate                 0.142857
cosmos-ecosystem          0.142857
scaling                   0.107143
lending-borowing          0.107143
iot                       0.107143
smart-contracts           0.107143
polkadot                  0.107143
decentralized-exchange    0.107143
dao                       0.107143
collectibles-nfts         0.107143
solana-ecosystem          0.107143
web3                      0.107143
binance-launchpad         0.107143
                          0.071429
distributed-computing     0.071429
governance                0.071429
spartan-group             0.071429
pos                       0.071429
enterprise-solutions      0.071429
privacy                   0.071429
Name: 4, dtype: float64",Solana,solana,"Solana is a public blockchain platform with smart contract functionality. Its native cryptocurrency is SOL. Solana claims to offer faster transaction times and lower costs than its main competitor, Ethereum.


== History ==
Solana was proposed in a white paper Anatoly Yakovenko which was published in November of 2017."
7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,LUNA,LUNA,6,"Series([], Name: 6, dtype: float64)",Terra,terra,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible."
8,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADA,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11,"smart-contracts         1.000000
platform                1.000000
mineable                0.428571
enterprise-solutions    0.285714
research                0.285714
pos                     0.285714
bnb-chain               0.285714
Name: 11, dtype: float64",Cardano,cardano,"Cardano is a public blockchain platform. It is open-source and decentralized, with consensus achieved using proof of stake. It can facilitate peer-to-peer transactions with its internal cryptocurrency, ADA.Cardano was founded in 2015 by Ethereum co-founder Charles Hoskinson."
9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVAX,"AVAX,NEAR,ATOM,FTM,STX",9,"injective-ecosystem    1.0
platform               0.8
bnb-chain              0.8
smart-contracts        0.6
defi                   0.6
Name: 9, dtype: float64",Avalanche,avalanche,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
