,main_token,groups,cluster_info
0,bitcoin,"BTC,BSV","{'store-of-value': 1.0, 'state-channel': 1.0, 'pow': 1.0, 'mineable': 1.0, 'sha-256': 1.0}"
1,ethereum,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR","{'mineable': 0.8888888888888888, 'medium-of-exchange': 0.7777777777777778, 'bnb-chain': 0.6666666666666666, 'pow': 0.6666666666666666, 'privacy': 0.3333333333333333, 'scrypt': 0.2222222222222222, 'smart-contracts': 0.2222222222222222, 'hybrid-pow-pos': 0.2222222222222222, 'dao': 0.2222222222222222, 'binance-chain': 0.2222222222222222}"
2,tether,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP","{'stablecoin': 1.0, 'bnb-chain': 1.0, 'usd-stablecoin': 1.0, 'asset-backed-stablecoin': 0.625, 'moonriver-ecosystem': 0.5, 'arbitrum-ecosytem': 0.5, 'avalanche-ecosystem': 0.375, 'fantom-ecosystem': 0.25, 'harmony-ecosystem': 0.25, 'injective-ecosystem': 0.25, 'defi': 0.25, 'store-of-value': 0.25}"
3,bnb,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM","{'payments': 1.0, 'smart-contracts': 0.3333333333333333, 'bnb-chain': 0.2222222222222222, 'mobile': 0.2222222222222222, 'medium-of-exchange': 0.2222222222222222, 'media': 0.2222222222222222, 'marketplace': 0.2222222222222222, 'centralized-exchange': 0.2222222222222222, 'content-creation': 0.2222222222222222}"
4,usd coin,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP","{'stablecoin': 1.0, 'bnb-chain': 1.0, 'usd-stablecoin': 1.0, 'asset-backed-stablecoin': 0.625, 'moonriver-ecosystem': 0.5, 'arbitrum-ecosytem': 0.5, 'avalanche-ecosystem': 0.375, 'fantom-ecosystem': 0.25, 'harmony-ecosystem': 0.25, 'injective-ecosystem': 0.25, 'defi': 0.25, 'store-of-value': 0.25}"
5,xrp,"XRP,XLM,EOS","{'medium-of-exchange': 1.0, 'enterprise-solutions': 1.0, 'smart-contracts': 0.6666666666666666, 'binance-chain': 0.6666666666666666}"
6,solana,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX","{'defi': 0.35714285714285715, 'platform': 0.21428571428571427, 'polkadot-ecosystem': 0.17857142857142858, 'injective-ecosystem': 0.17857142857142858, 'bnb-chain': 0.17857142857142858, 'substrate': 0.14285714285714285, 'cosmos-ecosystem': 0.14285714285714285, 'scaling': 0.10714285714285714, 'lending-borowing': 0.10714285714285714, 'iot': 0.10714285714285714, 'smart-contracts': 0.10714285714285714, 'polkadot': 0.10714285714285714, 'decentralized-exchange': 0.10714285714285714, 'dao': 0.10714285714285714, 'collectibles-nfts': 0.10714285714285714, 'solana-ecosystem': 0.10714285714285714, 'web3': 0.10714285714285714, 'binance-launchpad': 0.10714285714285714, '': 0.07142857142857142, 'distributed-computing': 0.07142857142857142, 'governance': 0.07142857142857142, 'spartan-group': 0.07142857142857142, 'pos': 0.07142857142857142, 'enterprise-solutions': 0.07142857142857142, 'privacy': 0.07142857142857142}"
7,terra,LUNA,{}
8,cardano,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX","{'smart-contracts': 1.0, 'platform': 1.0, 'mineable': 0.42857142857142855, 'enterprise-solutions': 0.2857142857142857, 'research': 0.2857142857142857, 'pos': 0.2857142857142857, 'bnb-chain': 0.2857142857142857}"
9,avalanche,"AVAX,NEAR,ATOM,FTM,STX","{'injective-ecosystem': 1.0, 'platform': 0.8, 'bnb-chain': 0.8, 'smart-contracts': 0.6, 'defi': 0.6}"
